"Station";"Net";"Municipality";"Lat (N)";"Lon (E)";"Elev (m)";"EC8/NTC topographic category";"NTC08 soil category";"NTC18 soil category";"Reference"
"TEGI";"IX";"Teggiano";"40.3799";"15.5365";"568";"T2*";"A**";"missing";"none"
"TERO";"IV";"Teramo";"42.6227";"13.6039";"673";"T3*";"B*";"missing";"none"
"TIP";"MN";"Timpagrande";"39.1794";"16.7583";"789";"T1*";"A**";"missing";"none"
"TRE1";"IV";"Treia";"43.3111";"13.3128";"330";"T3**";"B*";"missing";"none"
"TREG";"IV";"Tregnago";"45.5229";"11.1606";"342";"T1";"C**";"missing";"none"
"TREM";"IV";"Isole_Tremiti_S.Nicola";"42.1230";"15.5100";"120";"missing";"B*";"missing";"none"
"TRIV";"IV";"Trivento";"41.7666";"14.5502";"598";"T1";"B*";"missing";"none"
"TRN1";"IT";"Terni";"42.5582";"12.6461";"175";"T1";"D*";"missing";"none"
"TUE";"MN";"Stuetta";"46.4722";"9.3473";"1924";"T1*";"A*";"missing";"none"
"UMBT";"IT";"Umbertide";"43.3040";"12.3437";"252";"missing";"C*";"missing";"none"
"VAGA";"IV";"Valle_Agricola";"41.4154";"14.2342";"795";"T2*";"A*";"missing";"none"
"VALS";"IT";"Valles";"46.3388";"11.8017";"2086";"T1";"B*";"missing";"none"
"VARA";"ST";"Varagna";"45.8260";"10.8965";"1735";"T4**";"A*";"missing";"none"
"VARN";"OX";"Varnada";"45.9933";"12.1048";"1265";"T3*";"A*";"missing";"none"
"VDP3";"IX";"Vietri_di_Potenza";"40.6052";"15.5721";"959";"T1**";"B*";"missing";"none"
"VDS3";"IX";"Muro_Lucano";"40.7408";"15.4270";"1154";"T3*";"B*";"missing";"none"
"VENL";"IV";"Venezia_Lido";"45.4167";"12.3765";"4";"T1";"D*";"missing";"none"
"VGG3";"IX";"Viggiano";"40.3360";"15.9010";"882";"T2*";"B*";"missing";"none"
"VITU";"IV";"Vitulano";"41.1832";"14.6301";"848";"T2*";"A*";"missing";"none"
"VLC";"MN";"Villacollemandina";"44.1594";"10.3864";"555";"T1";"A*";"missing";"none"
"VNF1";"IT";"Venafro";"41.4805";"14.0501";"231";"T1";"C**";"missing";"none"
"VOBA";"IV";"Vobarno";"45.6429";"10.5040";"292";"T1*";"C*";"missing";"none"
"VOLT";"IV";"Volta_Mantovana";"45.3132";"10.6605";"107";"missing";"B*";"missing";"none"
"VRB";"IT";"Verbania";"45.9318";"8.5589";"268";"T1";"C**";"missing";"none"
"VULT";"IV";"Monte_Vulture";"40.9549";"15.6163";"1101";"T3*";"B*";"missing";"none"
"VVLD";"IV";"Villavallelonga";"41.8696";"13.6232";"1051";"T2**";"B*";"missing";"none"
"WDD";"MN";"Wied_Dalam";"35.8373";"14.5242";"44";"T1*";"A*";"missing";"none"
"ZCCA";"IV";"Zocca";"44.3508";"10.9765";"700";"T1*";"B*";"missing";"none"
"ZEN8";"IV";"San_Zeno_Montagna";"45.6378";"10.7319";"596";"T2**";"A**";"missing";"none"
"ZIAN";"ST";"Ziano";"46.2764";"11.5632";"1154";"T2*";"A**";"missing";"none"
"ZONE";"IV";"Zone";"45.7636";"10.1171";"691";"T1";"B*";"missing";"none"
"ZOU2";"OX";"Zouf_Plan";"46.5584";"12.9729";"1911";"T4*";"B*";"missing";"none"
"ZOVE";"IV";"Zovencedo";"45.4536";"11.4876";"376";"T2**";"A**";"missing";"none"
