"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
		"n"	"MALDIVES"		"KANDHOLHUDHOO, RAA"	5.61832	72.85583	2564.806									3.39	54	4														
		"n"	"MALDIVES"		"KANDHOLHUDHOO, RAA"	5.61757	72.8559	2564.792									3.05	59	4														
		"n"	"MALDIVES"		"EYDHAFUSHI, BAA"	5.10145	73.07278	2536.701									2.11	171	4														
		"n"	"MALDIVES"		"HINNAVARU, LHAVIYANI"	5.49297	73.4119	2502.274									1.3	309	4														
		"n"	"MALDIVES"		"HINNAVARU, LHAVIYANI"	5.49288	73.41188	2502.275									1.49	311	4										1				
		"n"	"MALDIVES"		"HINNAVARU, LHAVIYANI"	5.49195	73.4136	2502.077									1.24	128	4														
		"n"	"MALDIVES"		"MALE, N. MALE"	4.17208	73.50235	2484.612									1.15	82	4														1
		"n"	"MALDIVES"		"MALE, N. MALE"	4.16942	73.50581	2484.221									1.45	28	4														
		"n"	"MALDIVES"		"MALE, N. MALE"	4.1697	73.51338	2483.381									2.05	20	4														
		"n"	"MALDIVES"		"FONADHOO, LAAMU"	1.93235	73.6	2479.355									3.28		4			4	1										
		"n"	"TANZANIA"		"MATEMWE BEACH, ZANZIBAR"	-5.86848	39.35385	6362.638									2.9		5														
		"n"	"SOUTH AFRICA"		"ALL OF SOUTH AFRICA"												1.5		1			2	1										
		"n"	"COMOROS"		"HAJOHO, ANJOUAN"	-12.1209	44.48885	5933.119									2.3		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.556	95.236	257.022									12.3		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.485	95.228	249.71									19.7		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.558	95.235	257.264									20		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.432	95.235	243.867									22.6		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.465	95.242	247.155									24.1		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.472	95.243	247.869									27		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.354	95.243	235.347									29.6		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.456	95.246	246.077									35.7		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.351	95.246	234.933									40.2		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.566	95.341	255.238									3.7		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.562	95.326	255.184									4		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.566	95.327	255.589									4.6		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.533	95.304	252.643									5.7		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.579	95.351	256.396									6		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.594	95.371	257.544									6.3		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.487	95.264	248.842									7.1		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.575	95.325	256.609									8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.553	95.304	254.789									9.3		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.547	95.301	254.226									9.5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.614	95.398	259.105									9.8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.59	95.389	256.702									10		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.489	95.264	249.055									10.1		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.536	95.282	253.565									10.2		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.576	95.327	256.666									11.3		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.577	95.329	256.723									12.4		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.532	95.289	252.943									12.7		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.539	95.256	254.623									14		5														
