"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.549	95.312	254.148									5.61		4														
		"n"	"INDONESIA"	"ACEH"	"BANDA ACEH"	5.5615	95.31683333	255.366									6		5														
		"n"	"INDONESIA"	"ACEH"	"BANDA ACEH"	5.58175	95.36402778	256.382									2.7		5														
		"n"	"THAILAND"	"PHANG NGA"	"NAM KHEM"	8.85563889	98.26780556	668.308									3.8		5														
		"n"	"GHANA"		"TAKORADI"	4.88	-1.74	10828.108	27	1	38	24	39	28	0	15	0.21		2		"F"												
		"n"	"TANZANIA"		"DAR-ES-SALAAM FISHING HARBOR, FERRY"	-6.81845	39.30085	6383.107									2.4		5				1						1				
		"n"	"SOUTH AFRICA"		"SIMON'S BAY"	-34.19	18.44	9066.208	26	14	18	13	19	27	19	21	0.43		2		"R"												
		"n"	"INDIA"	"ANDHRA PRADESH"	"PALIPAN-KOTTAPATNAM"	15.43795	80.18091667	2179.23									3.14		5														
		"n"	"INDIA"	"TAMIL NADU"	"CHENNAI"	13.10436667	80.30988333	2024.246									5.56		5			310	3						1				
		"n"	"INDIA"	"TAMIL NADU"	"KOVALAM"	12.79091667	80.25005	2012.227									3.15		5														
		"n"	"INDIA"	"TAMIL NADU"	"PERANGIPETTINAM"	11.51638333	79.76631667	1992.652									2.9		5														
		"n"	"INDIA"	"TAMIL NADU"	"PERANGIPETTINAM"	11.51608333	79.76578333	1992.69									2.8		5														
		"n"	"INDIA"	"TAMIL NADU"	"PERANGIPETTINAM"	11.5078	79.76653333	1992.217									2.82		5														
		"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"SOUTH ANDAMAN"	11.65525	92.75661667	983.496									2.82		5														
		"n"	"INDIA"	"TAMIL NADU"	"KANYAKUMARI, MEELAMANAKUDY"	8.10802778	77.40372222	2110.655									12	2000	5												1		
		"n"	"SRI LANKA"		"TRINCOMALEE"	8.579356	81.2138	1721.761									3.2		4														
		"n"	"SRI LANKA"		"IBRAL NAGAR NALALEVI"	8.660272	81.21918	1724.118									4.5		4														
		"n"	"SRI LANKA"		"IBRAL NAGAR NALALEVI"	8.661204	81.21674	1724.405									4.45		4														
		"n"	"SRI LANKA"		"IBRAL NAGAR NALALEVI"	8.661829	81.2165	1724.453									3.8		4														
		"n"	"SRI LANKA"		"HAMBANTOTA"	6.12845	81.12752	1662.96									6.1		4														
		"n"	"SRI LANKA"		"KAMBURUGAMA"	5.94005	80.49195	1728.897									2.4		4														
		"n"	"SRI LANKA"		"KATTANKUDY"	7.683333	81.733333	1637.152											5										1				1
		"n"	"SRI LANKA"		"NINTAVUR"	7.00588056	81.00222222	1696.12											5														
		"n"	"MAURITIUS"		"PETIT GRAVIER, RODRIGUES"	-19.7289	63.4825	4362.39									3.8	24	9														
		"n"	"REUNION (FRENCH TERRITORY)"		"SAINT-GILLES"	-21.0546	55.2247	5185.903									1.3		4														
		"n"	"REUNION (FRENCH TERRITORY)"		"SAINT-GILLES"	-21.0555	55.2244	5185.976									1.3		4														
		"n"	"REUNION (FRENCH TERRITORY)"		"SAINT-GILLES"	-21.0555	55.2239	5186.022									0.85		4														
		"n"	"REUNION (FRENCH TERRITORY)"		"LE PORT"	-20.9333	55.3242	5170.657									2.74		5														
		"n"	"REUNION (FRENCH TERRITORY)"		"SAINT-PIERRE"	-21.345	55.4771	5176.936									1.4		4														
		"n"	"REUNION (FRENCH TERRITORY)"		"SAINT-PIERRE"	-21.3443	55.4765	5176.956									0.8		4														
		"n"	"INDIA"	"KERALA"	"ALLAPUZHA"	9.49	76.33	2264.126									3	1000	5														
		"n"	"YEMEN"		"BEDHOOLA"	12.33822	54.02038	4713.554									3.75	37	5														
		"n"	"YEMEN"		"RAS ARSAL, SOCOTRA ISLAND"												2	26.5	5														
		"n"	"INDIA"	"TAMIL NADU"	"SOTHAVILAI"	8.078	77.541	2095.167											1			200	3										
		"n"	"INDONESIA"	"ACEH"	"IDI, SUMATRA"	4.96653	97.77177	280.444									2.5	500	5										1		1		1
		"n"	"INDIA"	"TAMIL NADU"	"NAGAPATTINAM, NAGORE"	10.82	79.85	1951.911											1												4		4
		"n"	"INDIA"	"ANDHRA PRADESH"	"PRAKASHAM"	15.5	80.05	2194.615											1			35	1										
		"n"	"INDIA"	"TAMIL NADU"	"NAGAPATTINAM, AKKARAIPETTAI"	10.7667	79.8333	1951.192											1										1				1
		"n"	"OMAN"		"RAYSUT"	16.965483	54.000433	4814.359									1.24	154	5														
		"n"	"OMAN"		"SALALAH"	16.976017	54.01005	4813.636									3.25	71	5														
		"n"	"OMAN"		"TAQAH"	17.033617	54.403883	4774.396									2.44	73	5														
		"n"	"OMAN"		"HADBEEN"	17.1963	55.2185	4694.717									1.85	22	4														
		"n"	"SOMALIA"		"XAAFUUN"	10.42135	51.25944	4985.952									3.72	97.3	4														
		"n"	"INDONESIA"	"ACEH"	"PULAU BREUH, SUMATRA"	5.68139	95.06414	275.863									22.1	652.3	5														
		"n"	"SOMALIA"		"BANDARBEYLA"	9.49649	50.81292	5025.324									6.84	63.3	5														
		"n"	"SOMALIA"		"BANDARBEYLA"	9.49755	50.81258	5025.371									6.14	44.4	5														
		"n"	"SOMALIA"		"BANDARBEYLA"	9.49407	50.8142	5025.162									7.94	45.9	5														
		"n"	"SOMALIA"		"BANDARBEYLA"	9.49186	50.81546	5025.003									8.64	45.2	5														
		"n"	"SOMALIA"		"BARGAAL"	11.28567	51.07848	5015.92									6.49	132.3	5														
		"n"	"SOMALIA"		"BARGAAL"	11.28311	51.07861	5015.873									5.09	83.9	5														
		"n"	"MADAGASCAR"		"VOHEMAR"	-13.3536	50.01563	5388.798									3.19	24	5														
		"n"	"MADAGASCAR"		"MAHAMBO"	-17.47523	49.46362	5588.074									1.17	7	5														
		"n"	"INDONESIA"	"NORTH SUMATRA"	"LHOK LEUPUNG, SUMATRA"	4.69189	95.5372	156.16									14	856	4														
		"n"	"INDONESIA"	"ACEH"	"LANGI VILLAGE, SUMATRA"	2.82344	95.75611	55.542									10.9	294.2	4														
		"n"	"INDONESIA"	"ACEH"	"LANGI, SUMATRA"	2.82056	95.75992	55.774									7.3	334.7	5														
		"n"	"INDONESIA"	"NORTH SUMATRA"	"AFULU, SUMATRA"	1.26169	97.23066	273.946									3.9	84.1	4														
		"n"	"MADAGASCAR"		"FENOARIVO (FENERIVE)"	-17.38093	49.41523	5589.39									2.5	6	5														
		"n"	"MADAGASCAR"		"TOLAGNARO"	-25.03627	46.9926	6136.626									2	7	5														
		"n"	"MADAGASCAR"		"BETANTY"	-25.56952	45.53097	6295.179									5.4	28	5														
		"n"	"MADAGASCAR"		"MANANJARY"	-21.22907	48.35131	5845.244									2.4	21	5														
		"n"	"MADAGASCAR"		"MANAKARA BE"	-22.14344	48.02286	5914.844									2	10	4														
		"n"	"MADAGASCAR"		"ANTALAHA"	-14.9005	50.28227	5412.632									2.1		4														
		"n"	"MALDIVES"		"VILUFUSHI, THAA"	2.50194	73.31004	2507.923									3.44	5	4														
		"n"	"MALDIVES"		"MADIFUSHI, THAA"	2.35708	73.35457	2503.754									2.1	140	4														
		"n"	"MALDIVES"		"KOLHUFUSHI, MEEMU"	2.77343	73.42473	2493.981									2.91	129	4			16	1						1				
		"n"	"MALDIVES"		"KANDHOLHUDHOO, RAA"	5.61765	72.85588	2564.795									2.82	57	4														
		"n"	"MALDIVES"		"KANDHOLHUDHOO, RAA"	5.61762	72.8563	2564.748									3.1	15	4			3	1										
		"n"	"MALDIVES"		"EYDHAFUSHI, BAA"	5.10248	73.07215	2536.778									2	229	4														
		"n"	"MALDIVES"		"HINNAVARU, LHAVIYANI"	5.49195	73.4136	2502.077									1.04	128	4														
		"n"	"MALDIVES"		"HULHULE, N. MALE"	4.19453	73.52565	2482.088									1.22	104	4														1
		"n"	"TANZANIA"		"JAMBIANI RED MONKEY LODGE, ZANZIBAR"	-6.3427	39.55717	6347.552									3.25		5										1				1
		"n"	"TANZANIA"		"KIZIMKAZI, ZANZIBAR"	-6.45608	39.47358	6358.473									1.5		5														
		"n"	"COMOROS"		"KOUHANI, GRANDE COMORE"	-11.57127	43.39837	6035.202									4		5														
		"n"	"COMOROS"		"MTSAMDOU - HILL, GRANDE COMORE"	-11.6086	43.39197	6036.786									5.6		5														
		"n"	"COMOROS"		"DOMONI - NORTH, ANJOUAN"	-12.25923	44.53119	5932.201									1.9		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.649	95.416	262.525									7.2		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.609	95.398	258.563									7.7		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.443	95.241	244.848									15.5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.492	95.231	250.362									15.5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.251	95.253	224.133									16.7		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.486	95.228	249.816									17.5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.472	95.238	248.022									20.2		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.476	95.238	248.447									20.7		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.451	95.243	245.637									29.7		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.59	95.392	256.635									4.1		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.57	95.334	255.843									4.7		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.595	95.385	257.333									6.2		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.594	95.371	257.544									6.6		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.536	95.305	252.938									7.1		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.594	95.371	257.544									7.2		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.614	95.399	259.084									7.3		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.48	95.243	248.72									7.6		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.571	95.328	256.102									7.8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.557	95.315	254.93									8.1		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.552	95.309	254.55									8.1		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.594	95.372	257.521									8.1		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.53	95.286	252.812									8.2		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.583	95.351	256.827									8.8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.559	95.309	255.302									9.2		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.501	95.246	250.865									10		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.479	95.249	248.433									10.2		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.572	95.325	256.286									10.4		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.575	95.326	256.583									10.5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.593	95.367	257.528									10.6		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.562	95.317	255.415									10.8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.594	95.335	258.405									10.8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.588	95.361	257.129									10.8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.549	95.302	254.413									11.2		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.527	95.276	252.77									12.2		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.61	95.397	258.693									13.4		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.489	95.233	249.982									13.5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.593	95.336	258.272									15		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.507	95.26	251.092									15.4		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.478	95.246	248.417									17.2		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.478	95.24	248.599									19.5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.555	95.236	256.915									19.6		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.494	95.235	250.452									29		5														
		"n"	"COMOROS"		"DJOYEZI, MOHELI"	-12.30595	43.7766	6013.255									2.8		5														
		"n"	"COMOROS"		"MTSANGAMBOUA, MAYOTTE"	-12.69002	45.11142	5882.306									2		5														
		"n"	"COMOROS"		"MTSAHARA, MAYOTTE"	-12.68162	45.08042	5885.346									2.95		5														
		"n"	"COMOROS"		"SADA, MAYOTTE"	-12.84942	45.09867	5887.949									1.3		5														
		"n"	"SRI LANKA"		"HAMBANTOTA"	6.135	81.135	1662.273									8.8		5														
		"n"	"SOUTH AFRICA"		"CAPE TOWN"	-33.91	18.43	9061.87	26	15	0	14	1	27	14	1	0.44		2		"F"												
		"n"	"UK"		"NEWLYN, CORNWALL, ENGLAND"	50.1	-5.5536	10537.946	27	7	45						0.22		2	60													
		"n"	"UK TERRITORY"		"ST. HELENA"	-15.917918	-5.714394	11355.776	27	2	22	25	23	28	5	53	0.02		2	45	"F"												
		"n"	"THAILAND"		"MOODONG CANAL, PHUKET"	7.842	98.375	573.136									3.15		5														
		"n"	"THAILAND"		"PHALAI VILLAGE, PHUKET"	7.839	98.373	572.739									2.75		5														
		"n"	"THAILAND"		"CHALONG BAY PIER, PHUKET"	7.819	98.403	572.443									3.62		5														
		"n"	"THAILAND"		"PHI PHI DON (SOUTH COAST)"	7.748	98.772	587.11									4.58		5														
		"n"	"THAILAND"		"PATONG BEACH, PHUKET"	7.892	98.298	573.893									5.02		5														
		"n"	"THAILAND"		"KHAO LAK"	8.734	98.225	654.097									4.48		5														
		"n"	"THAILAND"		"TAP LAM NAVY BASE"	8.57	98.224	637.497									3.8		5														
		"n"	"THAILAND"		"BAN NIANG BEACH"	8.671	98.243	648.538									7.6		5														
		"n"	"MALAYSIA"		"KUALA TRIANG"	6.361	99.709	544.238										500	4														
		"n"	"ANTARCTICA"		"SYOWA STATION (JAPAN)"	-69.007778	39.570278	9072.314	26	13	40	12	41				0.39		2		"R"												
		"n"	"MALDIVES"		"NORTH MALE ATOLL, MALE IS."	4.169	73.506	2484.198									1.8	40	4														
		"n"	"MALDIVES"		"NORTH MALE ATOLL, MALE IS."	4.179	73.514	2483.338									1.3	70	4														
		"n"	"MALDIVES"		"NORTH MALE ATOLL, MALE IS."	4.179	73.513	2483.449									1.4	10	4														
		"n"	"MALDIVES"		"LAAMU ATOLL, GAN IS."	1.923	73.55	2484.977									2.7	10	4														
		"n"	"MALDIVES"		"NORTH MALE ATOLL, HURAA IS."	4.333	73.599	2474.389									2.4	15	4														
		"n"	"MYANMAR (BURMA)"		"SANN LAN VILLAGE"	13.94	98.076	1200.145									2.9		5														
		"n"	"MYANMAR (BURMA)"		"KONNAMAING CHAUNGWA VILLAGE"	10.036	98.524	799.594									1.9		5			1	1						1	8	1		
		"n"	"SRI LANKA"		"POLHENA"	5.936	80.526	1725.103									2.68		5														
		"n"	"INDONESIA"	"ACEH"	"LABUHAN BAKTI, SIMEULUE"	2.407	96.483	122.449									4	1500	4														
		"n"	"INDONESIA"	"ACEH"	"LABUHAN BAKTI, SIMEULUE"	2.402	96.481	122.777									2.5	1500	4												1		
		"n"	"INDONESIA"	"ACEH"	"KUALA BUBAN BAY, MEULABOH, SUMATRA"	4.208	96.039	100.754									10	5000	4														
		"n"	"INDONESIA"	"ACEH"	"KUALA TADU, MEULABOH, SUMATRA"	3.966	96.31	87.935									15	5000	4														
		"n"	"SRI LANKA"		"KALUTARA NORTH"	6.606	79.949	1800.793									4	80	4														
		"n"	"SRI LANKA"		"AHANGAMA"	5.974	80.361	1743.805									3	50	4														
		"n"	"SRI LANKA"		"HAMBANTOTA"	6.118	81.098	1665.975									10		4														
		"n"	"THAILAND"		"BAN AO LUK TUM"	9.203	98.272	703.831									8.6	74	4														
		"n"	"THAILAND"		"RAMSON"	9.602	98.47	752.931									4.9	329	4														
		"n"	"THAILAND"		"TA POU NOI"	7.834	98.422	574.923									2.53		4														
		"n"	"SRI LANKA"		"AKKARAIPATTU"	7.209	81.86	1609.585									4.5	200	4														
		"n"	"SRI LANKA"		"CHEDDIPALAYAM"	7.584	81.79	1628.077									6		4														
		"n"	"SRI LANKA"		"IRRAKKAKANDI"	8.725	81.177	1730.86									4	100	4														
		"n"	"SRI LANKA"		"NILAVELI"	8.677	81.203	1726.408									5		4														
		"n"	"SRI LANKA"		"COLOMBO"	6.9483	79.8533	1818.659	26	3	49	2	50				1.5		2		"R"												
		"n"	"INDIA"	"TAMIL NADU"	"NAGORE"	10.82222222	79.84916667	1952.094									5.81	1000	5														
		"n"	"INDIA"	"TAMIL NADU"	"SILVER BEACH, DEVANAMPATTINAM"	11.74722222	79.78805556	2001.784									7.55	1000	5														
		"n"	"INDIA"	"TAMIL NADU"	"PORTO NOVA"	11.49111111	79.76555556	1991.51									2.32	1500	5														
		"n"	"IRAN"		"KONARAK"	25.35383	60.40205	4508.403									3.38	26	5														
		"n"	"IRAN"		"SURGALM"	25.56746	58.20059	4717.71									2.18	21	5														
		"n"	"SEYCHELLES"		"ANSE VOLBERT, PRASLIN ISLAND"	-4.31238333	55.73978333	4541.044									1.9	100	5														
		"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"VIJAYA NAGAR, HAVELOCK ISLAND"	12.01330556	93.008	1011.745									1.7	200	5														
		"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"RADHA NAGAR, HAVELOCK ISLAND"	11.97930556	92.95172222	1010.122									2	100	5														
		"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"WANDOOR JETTY (2), PORT BLAIR"	11.59077778	92.60744444	982.696									2.4	300	5														
		"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"PASSENGER JETTY 2, LITTLE ANDARNAN"	10.58166667	92.58166667	881.042									13.1	143.6	5														
		"n"	"SOUTH AFRICA"		"STRUISBAAI"	-34.798	20.051	8932.64									1.5		1		"F"												
		"n"	"SEYCHELLES"		"ANSE ROYALE NORTH, MAHE ISLAND"												3.8	100	5														
		"n"	"AUSTRALIA"		"SYDNEY"	-33.85	151.233	7108.931	26	18	45	17	46	27	8	30	0.1		2														
		"n"	"AUSTRALIA"		"MOOLOOLABA"	-26.68	153.12	6987.376						27	13	30	0.1		2														
		"n"	"AUSTRALIA"		"CAIRNS"	-16.91666	145.78333	5925.124						27	16	41	0.05		2														
		"n"	"MALAYSIA"		"TANJUNG BUNGAH (3A)"	5.47016667	100.2776667	545.709									2.31	18.38	5														
		"n"	"MALAYSIA"		"YAN (KG. K.S. LIMAU)"	5.88333333	100.35	573.976									1.23	12.9	5														
		"n"	"MALAYSIA"		"KOTA K. MUDA"	5.56666667	100.3333333	555.938									3.8	100.52	5														
		"n"	"MALAYSIA"		"PANTAI ACHEH"	5.4	100.1833333	532.93									2.51	13.4	5														
		"n"	"MALAYSIA"		"PANTAI CHENANG (PELANGI HOTEL)"	6.28333333	99.71666667	539.663									3.75	54.72	5														
		"n"	"AUSTRALIA"		"ALBANY"	-35.033333	117.883333	4829.111	26	8	30	7	31	27	8	20	0.19		2														
		"n"	"INDIA"	"MAHARASHTRA"	"VORLI VILLAGE"	19.0198	72.8161	3049.948									3.3		5														
		"n"	"NEW ZEALAND"		"MARSDEN POINT"	-35.842	174.5	9207.358	27	0	40	23	41	27	17	0	0.08		2														
		"n"	"BRAZIL"		"SANTOS"	-23.991667	-46.301667	15364.063	27	0	30	23	31	27	16	5	0.4		2														
		"n"	"NEW ZEALAND"		"BLUFF HARBOR"	-46.589	168.329	8950.332	26	19	23	18	24				0.22		2	37													
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.482	95.236	249.146									15.42		4														
		"n"	"CANADA"	"BC"	"VICTORIA, BRITISH COLUMBIA"	48.425	-123.372	13134.721	27	14	20	37	21				0.06		2														
		"n"	"CANADA"	"BC"	"BELLA BELLA, BRITISH COLUMBIA"	52.163	-128.143	12602.964	27	10	20	33	21				0.05		2														
		"n"	"CANADA"	"BC"	"BAMFIELD, BRITISH COLUMBIA"	48.837	-125.137	13009.004	27	13	45						0.03		2														
		"n"	"INDIA"	"KARNATAKA"	"MANGALORE, KARNATAKA"	12.9	74.85	2543.238											1														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.553	95.316	254.474									3.96		4														
		"n"	"INDIA"	"TAMIL NADU"	"RAMESWARAM, TAMIL NADU"	9.3	79.317	1944.928											1														
		"n"	"INDONESIA"	"NORTH SUMATRA"	"PASARSORKAM, SUMATRA"	1.871	98.565	341.198									1		5														
		"n"	"INDONESIA"	"ACEH"	"SIGLI, ACEH, SUMATRA"	5.387	95.964	229.338									4.4		5														
		"n"	"MALDIVES"		"KULHUDHUFFUSHI, HAA DHAALU"	6.622	73.069	2552.775									1.92		5														
		"n"	"MALDIVES"		"ENBODOO VILLAGE, SOUTH MALE"	4.084	73.513	2483.207									1.18		5														
		"n"	"MALDIVES"		"KEYODHOO, VAAVU"	3.461	73.55	2478.554									2.89		5														
		"n"	"MALDIVES"		"RINBUDHOO, DHAALU"	2.926	72.894	2552.438									3.18		5														
		"n"	"MALDIVES"		"GAN, LAAMU"	1.933	73.552	2484.678									2.31		5														
		"n"	"MALDIVES"		"GAN, LAAMU"	1.932	73.551	2484.796									2.71		5														
		"n"	"MALDIVES"		"GAN, LAAMU"	1.923	73.55	2484.977									2.1		5														
		"n"	"MALDIVES"		"GAN, LAAMU"	1.898	73.537	2486.615									2.08		5														
		"n"	"MALDIVES"		"KADDHOO, LAAMU"	1.858	73.519	2488.931									1.28		5														
		"n"	"MALDIVES"		"HITHADHOO, SEENU"	0.629	73.11	2547.494									1.95		5														
		"n"	"INDONESIA"	"ACEH"	"RHITING, ACEH, SUMATRA"	5.429	95.234	243.58									48.86	70	5														
		"n"	"MALDIVES"		"ALL OF MALDIVES"												4.43		5			108	3					470.1	4	8074	4		
		"n"	"USA TERRITORY"	"VI"	"ST. CROIX: LIMETREE"	17.697	-64.753	16866.682	27	5	17	28	18				0.02		2														
		"n"	"AUSTRALIA"		"DELAMBRE IS., DAMPIER ARCHIPELAGO"	-20.45	117.08	3505.118									0.3		1														
		"n"	"OMAN"		"SALALAH"	16.941	54.008	4812.942	26	8	8	7	9				1.31		2		"R"												
		"n"	"MALAYSIA"		"TANJUNG BUNGAH, PENANG IS."	5.467	100.277	545.491									2.5		4												1		
		"n"	"MALAYSIA"		"KAMPUNG TEPI SUNGAI"	5.58	100.338	557.058									3	400	4			11	1										1
		"n"	"MAURITIUS"		"PORT LOUIS HARBOUR"	-20.1573	57.5041	4929.088	26	7	46	6	47				0.98		2														
		"n"	"INDIA"	"TAMIL NADU"	"NORTH OF MAMALLAPURAM"	12.67555556	80.21611111	2009.065										100	5														
		"n"	"INDIA"	"TAMIL NADU"	"MAMALLAPURAM (SHORE TEMPLE)"	12.61416667	80.1975	2007.469										150	5														
		"n"	"INDIA"	"TAMIL NADU"	"PONDICHERRY BEACH"	11.93611111	79.83638889	2006.502										25	5														
		"n"	"INDIA"	"TAMIL NADU"	"WEST OF KALLIMODU"	10.50166667	79.86194444	1936.65										400	5														
		"n"	"INDIA"	"TAMIL NADU"	"KANNIYAKUMARI BEACH"	8.09027778	77.55833333	2093.627										700	5														
		"n"	"INDIA"	"TAMIL NADU"	"KOLACHEL PORT"	8.19027778	77.25138889	2129.105										800	5														
		"n"	"INDIA"	"TAMIL NADU"	"MARINA BEACH"	13.04027778	80.28	2023.39									2.23	200	5														
		"n"	"INDIA"	"TAMIL NADU"	"ATIRAMPATTINAM"	10.31333333	79.39555556	1975.866									2.97	1000	5														
		"n"	"INDIA"	"TAMIL NADU"	"TIRUMULLAIVASAL"	11.24194444	79.84361111	1971.965									5.22	1000	5														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.445	95.242	245.03									21.65		4														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.475	95.237	248.371									16.63		4														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.461	95.245	246.639									23.51		5														
		"n"	"NEW ZEALAND"		"GISBORNE"	-38.6754	178.023	9562.01	26	19	5	18	6				0.39		2	47													
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.553	95.315	254.5									5.52		4														
		"n"	"USA"	"FL"	"TRIDENT PIER, FL"	28.415	-80.593	16472.638	27	9	11	32	12				0.17		2														
		"n"	"USA TERRITORY"	"VI"	"ST. THOMAS: CHARLOTTE AMALIE"	18.333	-64.917	16827.245	27	5	41	28	42				0.09		2														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.554	95.319	254.503									5.01		4														
		"n"	"CANADA"	"NS"	"HALIFAX, NOVA SCOTIA"	44.667	-63.583	14312.129	27	8	30	31	31				0.22		2	45													
		"n"	"THAILAND"		"KRABI"	8.07	98.87	622.848	26	3	45	2	46				0.84		2		"F"												
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.55	95.308	254.361									6.78		4														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.451	95.243	245.637									21.56		5														
		"n"	"INDONESIA"	"ACEH"	"SIGLI, ACEH, SUMATRA"	5.389	95.96	229.536									4.4		4														
		"n"	"INDONESIA"	"ACEH"	"KRUENG RAYA PORT, SUMATRA"	5.596	95.526	254.739									5.1		4														
		"n"	"USA"	"HI"	"HILO, HAWAII, HI"	19.7303	-155.0553	11880.503	27	3	30	26	31				0.09		2														
		"n"	"USA"	"CA"	"PORT SAN LUIS, CA"	35.17666	-120.755	14294.524	27	12	17	35	18				0.27		2														
		"n"	"CHILE"	"CONCEPCION"	"TALCAHUANO"	-36.6953	-73.1063	16140.93	27	1	35	24	36				0.22		2														
		"n"	"NEW ZEALAND"		"NELSON"	-41.2613	173.27278	9206.111	27	0	5	23	6				0.64		2	45													
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.553	95.317	254.448									4.7		4														
		"n"	"INDONESIA"	"ACEH"	"BANDA ACEH"	5.54686111	95.31169444	253.927									4		5														
