YYYY MM DD hh mm ss T HEIGHT
2004 01 05 21 15 00 1 3481.767
2004 01 05 21 30 00 1 3481.658
2004 01 05 21 45 00 1 3481.541
2004 01 05 22 00 00 1 3481.425
2004 01 05 22 15 00 1 3481.312
2004 01 05 22 30 00 1 3481.198
2004 01 05 22 45 00 1 3481.090
2004 01 05 23 00 00 1 3480.983
2004 01 05 23 15 00 1 3480.883
2004 01 05 23 30 00 1 3480.788
2004 01 05 23 45 00 1 3480.699
2004 01 06 00 00 00 1 3480.622
2004 01 06 00 15 00 1 3480.553
2004 01 06 00 30 00 1 3480.501
2004 01 06 00 45 00 1 3480.451
2004 01 06 01 00 00 1 3480.416
2004 01 06 01 15 00 1 3480.390
2004 01 06 01 30 00 1 3480.379
2004 01 06 01 45 00 1 3480.381
2004 01 06 02 00 00 1 3480.395
2004 01 06 02 15 00 1 3480.422
2004 01 06 02 30 00 1 3480.454
2004 01 06 02 45 00 1 3480.499
2004 01 06 03 00 00 1 3480.558
2004 01 06 03 15 00 1 3480.620
2004 01 06 03 30 00 1 3480.690
2004 01 06 03 45 00 1 3480.769
2004 01 06 04 00 00 1 3480.855
2004 01 06 04 15 00 1 3480.945
2004 01 06 04 30 00 1 3481.040
2004 01 06 04 45 00 1 3481.134
2004 01 06 05 00 00 1 3481.230
2004 01 06 05 15 00 1 3481.326
2004 01 06 05 30 00 1 3481.419
2004 01 06 05 45 00 1 3481.510
2004 01 06 06 00 00 1 3481.597
2004 01 06 06 15 00 1 3481.679
2004 01 06 06 30 00 1 3481.750
2004 01 06 06 45 00 1 3481.814
2004 01 06 07 00 00 1 3481.872
2004 01 06 07 15 00 1 3481.921
2004 01 06 07 30 00 1 3481.966
2004 01 06 07 45 00 1 3481.997
2004 01 06 08 00 00 1 3482.021
2004 01 06 08 15 00 1 3482.036
2004 01 06 08 30 00 1 3482.042
2004 01 06 08 45 00 1 3482.039
2004 01 06 09 00 00 1 3482.032
2004 01 06 09 15 00 1 3482.016
2004 01 06 09 30 00 1 3481.994
2004 01 06 09 45 00 1 3481.969
2004 01 06 10 00 00 1 3481.938
2004 01 06 10 15 00 1 3481.905
2004 01 06 10 30 00 1 3481.866
2004 01 06 10 45 00 1 3481.832
2004 01 06 11 00 00 1 3481.793
2004 01 06 11 15 00 1 3481.754
2004 01 06 11 30 00 1 3481.718
2004 01 06 11 45 00 1 3481.683
2004 01 06 12 00 00 1 3481.654
2004 01 06 12 15 00 1 3481.630
2004 01 06 12 30 00 1 3481.610
2004 01 06 12 45 00 1 3481.598
2004 01 06 13 00 00 1 3481.595
2004 01 06 13 15 00 1 3481.599
2004 01 06 13 30 00 1 3481.605
