#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
GR|INS6|49.08687|8.19321|130.0|BGR Station Kandel, Kundencenter Pfalzwerke, Germany|2012-09-18T09:20:00|2015-04-15T13:30:00
GR|INS6B|49.08524|8.19395|130.0|BGR Station Friedhof Kandel, Germany|2015-04-16T13:50:00|
GR|INS7|49.16|8.212|155.0|BGR Station Herxheim Wasserbehaelter, Germany|2012-11-16T09:10:00|
GR|INS8|49.2628|8.12513|162.0|BGR Station Friedhof Edesheim, Germany|2015-04-16T13:30:00|
GR|INS9|49.19458|8.11087|146.0|BGR Station Landau, Germany|2012-08-01T00:00:00|2012-09-19T20:50:00
GR|INSH|49.1473|8.1658|130.0|BGR Station Insheim Angelsportverein, Germany|2012-03-15T07:20:00|
GR|KAST|51.20272|8.416204|616.0|GRSN Station Kahler Asten|2012-11-01T00:00:00|
GR|KHUS|54.19622|11.05461|-1.0|BGR Station Kellenhusen, Germany|2018-08-22T00:00:00|
GR|KUDEN|53.9688|9.19552|14.0|BGR Station Kuden, Germany|2017-07-21T00:00:00|
GR|KUDN|53.9687|9.19558|26.0|BGR Station Kuden Srfc, Germany|2017-07-17T00:00:00|2018-08-22T00:00:00
GR|LDAU|49.18216|8.12684|151.0|BGR Station Landau, Germany|2009-09-25T00:00:00|2012-06-01T00:00:00
GR|LID|54.5481|13.3664|0.0|GRSN Station Liddow|1993-08-14T00:00:00|1995-12-01T00:00:00
GR|LNIZ|53.4935|14.2097|13.0|BGR Station Loecknitz, Germany|2014-10-01T00:00:00|
GR|LOCC|52.410132|9.139108|110.2|NED Station LOCCUM, Germany|2017-07-18T00:00:00|
GR|LUEB|52.2966|8.699|156.0|BGR Station Luebbecke Wasserhochbehaelter, Germany|2016-04-01T00:00:00|2019-02-26T00:00:00
GR|LUEB|52.2966|8.6993|155.0|BGR Station Luebbecke Wasserhochbehaelter, Germany|2019-02-26T00:00:00|
GR|MILB|49.8284|9.2923|369.0|BGR Station Miltenberg, Germany|2015-03-17T00:00:00|
GR|MOX|50.6461|11.6161|455.0|GRSN Station Moxa|1992-11-01T00:00:00|
GR|NOTT|49.80976|12.12087|490.0|GRSN Station Nottersdorf|2004-10-28T00:00:00|2006-01-30T00:00:00
GR|NRDL|52.49432|10.10728|43.0|GRSN Station Niedersachsen|2003-06-20T00:00:00|
GR|NSR5|52.87145|10.30783|118.0|BGR Station Neuensothriet 5, Germany|2016-08-10T10:00:00|2019-06-20T00:00:00
GR|P180|52.40651|9.82829|-133.0|BGR Station GeneSys, Germany|2010-05-12T00:00:00|2017-12-07T00:00:00
GR|RAST|52.90959|7.71638|37.0|BGR Station Rastdorf, Germany|2012-01-01T00:00:00|
GR|RETH|52.73793|9.36095|-150.0|BGR Station GRSN Station Rethem Borehole, Germany|2012-09-30T00:00:00|2015-12-30T12:00:00
GR|RETH|52.73791|9.3611|-150.0|BGR Station GRSN Station Rethem Borehole, Germany|2015-12-30T12:00:00|
GR|RETHO|52.73819|9.36068|20.0|GRSN Station RETHEM Surface|2012-09-30T00:00:00|
GR|SCHI|53.341055|12.844738|103.0|Schillersdorf|2022-09-01T09:46:25.793|
GR|SEVE|52.79936|8.07091|45.0|BGR Station Sevelten, Germany|2014-07-16T00:00:00|
GR|SKMB|54.7177|9.4385|48.0|GRSN Station Sankelmark Bunker|2013-09-06T00:00:00|
GR|SYKE|52.87845|8.87575|50.0|BGR Station Friedhofskapelle bei Heiligenfelde, Germany|2014-04-27T00:00:00|
GR|TMO20|49.18419|8.055|214.0|BGR Station Ilbesheim, Friedhof, Germany|2013-09-11T12:00:00|
GR|TMO22|49.2192|8.1848|134.0|BGR Station Bornheim, Wasserwerk, Germany|2013-09-10T19:15:00|
GR|TMO54|49.13964|8.12866|144.0|BGR Station Rohrbach, Friedhof, Germany|2013-09-11T08:10:00|
GR|TMO55|49.2276|8.1099|203.0|BGR Station Nussdorf, Friedhof, Germany|2013-10-01T09:40:00|
GR|TMO57|49.17344|8.27707|126.0|BGR Station Aussiedlerhof Bellheim, Germany|2015-04-17T08:40:00|
GR|TMO66|49.21767|8.04602|275.0|BGR Station Geilweiler Hof, Germany|2014-12-09T12:00:00|
GR|TNS|50.2236|8.4489|815.0|GRSN Station Taunus Observatory|1991-05-01T00:00:00|
GR|UBBA|50.81877|10.00098|-526.4|GRSN Station Unterbreizbach|2003-06-20T00:00:00|
GR|UBR|47.6799|10.1071|903.0|BGR Station GRSN Station Ueberruh, Germany|2008-11-25T00:00:00|
GR|UNDO|53.2138|9.90985|92.0|BGR Station Undeloh, Germany|2020-03-06T00:00:00|
GR|WEEZ|52.30317|9.626576|70.0|NED Station Weetzen, Germany|2022-04-27T00:00:00|
GR|WET|49.1448|12.8803|613.0|GRSN Station Wettzell|1991-06-01T00:00:00|
GR|ZARR|53.5538|10.9175|39.0|GRSN Station Zarrenthin|2011-07-01T00:00:00|
GR|ZURM|52.951212|9.168717|13.0|BGR Station Zurm, Germany|2014-07-16T00:00:00|
